Clave ,Estatus ,Nombre ,R.F.C. ,Calle ,Número interior ,Número exterior ,Entre calle 1 ,Y calle ,Colonia ,Código postal ,Población ,Municipio ,Estado ,País ,Teléfono ,Mail predeterminado ,Días de crédito ,Saldo ,Uso del CFDI ,Nombre comercial ,Estado datos timbrado 
13,Activo,Logística del Altiplano,XEXX010101000,904 Bramblewood Ln.,,,,,,78045,,LAREDO,TEXAS,USA,,afwarehouse@hotmail.com,15,0,G03,Logística del Altiplano,
14,Activo,Tierra y Ruta,XEXX010101000,"88 La Vista Ln., Santa Fe, NM",,,,,,78045,LAREDO,LAREDO,TEXAS,Estados Unidos (los),,,30,0,S01,Tierra y Ruta,
15,Activo,MoviCarga México,XEXX010101000,"Av. Cuauhtémoc 302, Col. Narvarte, CDMX",,1783,RIO ZAPOTLAN,RIO TUXCUECA,ATLAS,44870,,GUADALAJARA,GUADALAJARA JAL,,,administration@gdl.uni-trade.com,15,0,G03,MoviCarga México,
16,Activo,Carga Segura del Valle,XEXX010101000,7710 Cedar Elm Dr.,,,,,,78045,,LAREDO,TEXAS,Estados Unidos (los),,,30,0,S01,Carga Segura del Valle,
17,Activo,Grupo Rápido Istmo,XEXX010101000,1325 Heritage Ct.,,,,,,78045,LAREDO,LAREDO,TX,Estados Unidos (los),,,30,0,S01,Grupo Rápido Istmo,
18,Activo,RutaMX Logística,XEXX010101000,4029 Summerfield Blvd.,,211,,,,78041,,,LAREDO TX.,MEXICO,,Jgintlogistics@gmail.com;jinzunza@omcdemexico.com,15,0,G03,RutaMX Logística,
19,Activo,Caminos del Sur,XEXX010101000,1450 Roosevelt Ave.,,,,,,78040,,LAREDO,TEXAS,Estados Unidos (los),,jgalvan@casaduana.com;jmoreno@casaduana.com,30,0,G03,Caminos del Sur,
20,Activo,Transporte y Almacenaje Azimex,XEXX010101000,"Blvd. Manuel Ávila Camacho 89, Lomas de Chapultepec, CDMX",18705,,,,,78045,,,LAREDO TX,ESTADOS UNIDOS,,anag@mallorygroup.com;lilianaG@mallorygroup.com,15,0,G03,Transporte y Almacenaje Azimex,
21,Activo,Red de Fletes Nacionales,XEXX010101000,"Calle Cedros 512, Col. Arboledas, Monterrey",PISO 8,375,LAGO MURITZ,LAGO XOCHIMILCO,ANAHUAC I SECCION,11320,MIGUEL HIDALGO,MIGUEL HIDALGO,MEXICO,,,,30,0,G03,Red de Fletes Nacionales,
22,Activo,Carga Eficiente del Golfo,XEXX010101000,3608 Blue Ridge Pkwy.,,,,,,,LAREDO,LAREDO,TX,Estados Unidos (los),,pgcarrier@palosgarza.com,30,0,G03,Carga Eficiente del Golfo,
23,Activo,LogiCentro México,XEXX010101000,"9430 Desert View Dr., El Paso, TX",,,,,,29316,,BOILING SPRINGS,SC,Estados Unidos (los),,cdmx.accountspayable@carolinalogisticsinc.com,30,0,S01,LogiCentro México,
24,Activo,Corporativo TransVía,XEXX010101000,600 SUNLAND PARK DR. BLDG. 5-500 79912,,,,,,79912,EL PASO,EL PASO,TEXAS,Estados Unidos (los),,,30,0,S01,Corporativo TransVía,
